/* 高度合成数 */
/*
	10^20 以下の高度合成数のリスト
	番号: 約数の個数, 高度合成数
	高度合成数は素因数分解したときの指数が広義単調減少するので, その性質を使えばかなり大きいところまで求められる.
*/

  0:      1,                    1
  1:      2,                    2
  2:      3,                    4
  3:      4,                    6
  4:      6,                   12
  5:      8,                   24
  6:      9,                   36
  7:     10,                   48
  8:     12,                   60
  9:     16,                  120
 10:     18,                  180
 11:     20,                  240
 12:     24,                  360
 13:     30,                  720
 14:     32,                  840
 15:     36,                 1260
 16:     40,                 1680
 17:     48,                 2520
 18:     60,                 5040
 19:     64,                 7560
 20:     72,                10080
 21:     80,                15120
 22:     84,                20160
 23:     90,                25200
 24:     96,                27720
 25:    100,                45360
 26:    108,                50400
 27:    120,                55440
 28:    128,                83160
 29:    144,               110880
 30:    160,               166320
 31:    168,               221760
 32:    180,               277200
 33:    192,               332640
 34:    200,               498960
 35:    216,               554400
 36:    224,               665280
 37:    240,               720720
 38:    256,              1081080
 39:    288,              1441440
 40:    320,              2162160
 41:    336,              2882880
 42:    360,              3603600
 43:    384,              4324320
 44:    400,              6486480
 45:    432,              7207200
 46:    448,              8648640
 47:    480,             10810800
 48:    504,             14414400
 49:    512,             17297280
 50:    576,             21621600
 51:    600,             32432400
 52:    640,             36756720
 53:    672,             43243200
 54:    720,             61261200
 55:    768,             73513440
 56:    800,            110270160
 57:    864,            122522400
 58:    896,            147026880
 59:    960,            183783600
 60:   1008,            245044800
 61:   1024,            294053760
 62:   1152,            367567200
 63:   1200,            551350800
 64:   1280,            698377680
 65:   1344,            735134400
 66:   1440,           1102701600
 67:   1536,           1396755360
 68:   1600,           2095133040
 69:   1680,           2205403200
 70:   1728,           2327925600
 71:   1792,           2793510720
 72:   1920,           3491888400
 73:   2016,           4655851200
 74:   2048,           5587021440
 75:   2304,           6983776800
 76:   2400,          10475665200
 77:   2688,          13967553600
 78:   2880,          20951330400
 79:   3072,          27935107200
 80:   3360,          41902660800
 81:   3456,          48886437600
 82:   3584,          64250746560
 83:   3600,          73329656400
 84:   3840,          80313433200
 85:   4032,          97772875200
 86:   4096,         128501493120
 87:   4320,         146659312800
 88:   4608,         160626866400
 89:   4800,         240940299600
 90:   5040,         293318625600
 91:   5376,         321253732800
 92:   5760,         481880599200
 93:   6144,         642507465600
 94:   6720,         963761198400
 95:   6912,        1124388064800
 96:   7168,        1606268664000
 97:   7200,        1686582097200
 98:   7680,        1927522396800
 99:   8064,        2248776129600
100:   8192,        3212537328000
101:   8640,        3373164194400
102:   9216,        4497552259200
103:  10080,        6746328388800
104:  10368,        8995104518400
105:  10752,        9316358251200
106:  11520,       13492656777600
107:  12288,       18632716502400
108:  12960,       26985313555200
109:  13440,       27949074753600
110:  13824,       32607253879200
111:  14336,       46581791256000
112:  14400,       48910880818800
113:  15360,       55898149507200
114:  16128,       65214507758400
115:  16384,       93163582512000
116:  17280,       97821761637600
117:  18432,      130429015516800
118:  20160,      195643523275200
119:  20736,      260858031033600
120:  21504,      288807105787200
121:  23040,      391287046550400
122:  24576,      577614211574400
123:  25920,      782574093100800
124:  26880,      866421317361600
125:  27648,     1010824870255200
126:  28672,     1444035528936000
127:  28800,     1516237305382800
128:  30720,     1732842634723200
129:  32256,     2021649740510400
130:  32768,     2888071057872000
131:  34560,     3032474610765600
132:  36864,     4043299481020800
133:  40320,     6064949221531200
134:  41472,     8086598962041600
135:  43008,    10108248702552000
136:  46080,    12129898443062400
137:  48384,    18194847664593600
138:  49152,    20216497405104000
139:  51840,    24259796886124800
140:  53760,    30324746107656000
141:  55296,    36389695329187200
142:  57600,    48519593772249600
143:  61440,    60649492215312000
144:  62208,    72779390658374400
145:  64512,    74801040398884800
146:  65536,   106858629141264000
147:  69120,   112201560598327200
148:  73728,   149602080797769600
149:  80640,   224403121196654400
150:  82944,   299204161595539200
151:  86016,   374005201994424000
152:  92160,   448806242393308800
153:  96768,   673209363589963200
154:  98304,   748010403988848000
155: 103680,   897612484786617600
156: 107520,  1122015605983272000
157: 110592,  1346418727179926400
158: 115200,  1795224969573235200
159: 122880,  2244031211966544000
160: 124416,  2692837454359852800
161: 129024,  3066842656354276800
162: 131072,  4381203794791824000
163: 138240,  4488062423933088000
164: 147456,  6133685312708553600
165: 153600,  8976124847866176000
166: 161280,  9200527969062830400
167: 165888, 12267370625417107200
168: 172032, 15334213281771384000
169: 184320, 18401055938125660800
170: 193536, 27601583907188491200
171: 196608, 30668426563542768000
172: 207360, 36802111876251321600
173: 215040, 46002639845314152000
174: 221184, 55203167814376982400
175: 230400, 73604223752502643200
176: 245760, 92005279690628304000
